symbol,endDate,index,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
TRV,2019/06/30,180,0.0,0.0,665000000,0,557000000,1125000000,1879000000,754000000,754000000,0,-89000000,0.0,0.0,0.0,108000000,7834000000,7080000000,5955000000,-89000000,0,557000000,553000000
TRV,2019/03/31,183,0.0,0.0,967000000,0,796000000,1057000000,2112000000,1055000000,1055000000,0,-88000000,0.0,0.0,0.0,171000000,7671000000,6616000000,5559000000,-88000000,0,796000000,791000000
TRV,2018/12/31,186,0.0,0.0,746000000,0,621000000,1063000000,1896000000,833000000,833000000,0,-87000000,0.0,0.0,0.0,125000000,7796000000,6963000000,5900000000,-87000000,0,621000000,616000000
TRV,2018/09/30,189,0.0,0.0,806000000,0,709000000,1059000000,1951000000,892000000,892000000,0,-86000000,0.0,0.0,0.0,97000000,7723000000,6831000000,5772000000,-86000000,0,709000000,704000000
UNM,2019/06/30,192,0.0,0.0,352000000,0,281200000,223900000,848400000,394600000,394600000,229900000,-42600000,0.0,0.0,0.0,70800000,3016700000,2622100000,2168300000,-42600000,0,281200000,281200000
UNM,2019/03/31,195,0.0,0.0,353300000,0,280900000,226500000,859800000,395400000,395400000,237900000,-42100000,0.0,0.0,0.0,72400000,2987600000,2592200000,2127800000,-42100000,0,280900000,280900000
UNM,2018/12/31,198,0.0,0.0,309700000,0,249100000,219800000,804800000,351700000,351700000,233300000,-42000000,0.0,0.0,0.0,60600000,2880800000,2529100000,2076000000,-42000000,0,249100000,249100000
UNM,2018/09/30,201,0.0,0.0,-377800000,0,-284700000,224200000,102000000,-335100000,-335100000,212900000,-42700000,0.0,0.0,0.0,-93100000,2927800000,3262900000,2825800000,-42700000,0,-284700000,-284700000
WLTW,2019/06/30,204,0.0,0.0,187000000,142000000,138000000,63000000,830000000,236000000,236000000,349000000,-56000000,0.0,0.0,0.0,38000000,2048000000,1812000000,1218000000,-49000000,0,149000000,138000000
WLTW,2019/03/31,207,0.0,0.0,360000000,150000000,287000000,61000000,1023000000,424000000,424000000,357000000,-54000000,0.0,0.0,0.0,67000000,2312000000,1888000000,1289000000,-64000000,0,293000000,287000000
WLTW,2018/12/31,210,0.0,0.0,477000000,145000000,378000000,295000000,1202000000,587000000,587000000,139000000,-54000000,0.0,0.0,0.0,94000000,2372000000,1785000000,1170000000,-110000000,0,383000000,378000000
WLTW,2018/09/30,213,0.0,0.0,36000000,141000000,44000000,295000000,698000000,144000000,144000000,374000000,-51000000,0.0,0.0,0.0,-10000000,1859000000,1715000000,1161000000,-108000000,0,46000000,44000000
LNC,2019/06/30,216,0.0,0.0,421000000,0,363000000,0,506000000,506000000,506000000,0,-70000000,0.0,0.0,0.0,58000000,4310000000,3804000000,3804000000,-85000000,0,363000000,363000000
LNC,2019/03/31,219,0.0,0.0,268000000,0,252000000,0,354000000,354000000,354000000,0,-71000000,0.0,0.0,0.0,16000000,3965000000,3611000000,3611000000,-86000000,0,252000000,252000000
LNC,2018/12/31,222,0.0,0.0,467000000,0,399000000,2418000000,3412000000,588000000,588000000,397000000,-69000000,0.0,0.0,0.0,68000000,4531000000,3943000000,1119000000,-121000000,0,399000000,399000000
LNC,2018/09/30,225,0.0,0.0,532000000,0,490000000,2418000000,629000000,629000000,629000000,397000000,-69000000,0.0,0.0,0.0,42000000,4264000000,3635000000,3635000000,-97000000,0,490000000,490000000
L,2019/06/30,228,0.0,0.0,275000000,2880000000,249000000,1224000000,1670000000,446000000,446000000,0,-164000000,0.0,0.0,0.0,50000000,3623000000,3177000000,1953000000,-171000000,0,225000000,249000000
L,2019/03/31,231,0.0,0.0,508000000,2865000000,394000000,1146000000,1798000000,652000000,652000000,0,-141000000,0.0,0.0,0.0,112000000,3757000000,3105000000,1959000000,-144000000,0,396000000,394000000
L,2018/12/31,234,0.0,0.0,-232000000,2868000000,-165000000,515000000,427000000,-88000000,-88000000,0,-144000000,0.0,0.0,0.0,-21000000,3287000000,3375000000,2860000000,-144000000,0,-211000000,-165000000
L,2018/09/30,237,0.0,0.0,354000000,2934000000,278000000,1441000000,1959000000,518000000,518000000,0,-146000000,0.0,0.0,0.0,65000000,3608000000,3090000000,1649000000,-164000000,0,289000000,278000000
