symbol,date,amount,type
CINF,2010-12-20,0.4,DIVIDEND
CB,2010-12-21,0.37,DIVIDEND
AJG,2010-12-29,0.32,DIVIDEND
WLTW,2010-12-29,0.26,DIVIDEND
GL,2011-01-04,0.16,DIVIDEND
LNC,2011-01-06,0.05,DIVIDEND
AIG,2011-01-20,8.7,DIVIDEND
PGR,2011-01-25,0.3987,DIVIDEND
MMC,2011-01-26,0.21,DIVIDEND
UNM,2011-01-27,0.0925,DIVIDEND
AON,2011-01-28,0.15,DIVIDEND
AFL,2011-02-11,0.3,DIVIDEND
HIG,2011-02-25,0.1,DIVIDEND
L,2011-02-25,0.0625,DIVIDEND
RE,2011-03-07,0.48,DIVIDEND
TRV,2011-03-08,0.36,DIVIDEND
ALL,2011-03-09,0.21,DIVIDEND
CB,2011-03-16,0.39,DIVIDEND
CINF,2011-03-21,0.4,DIVIDEND
WLTW,2011-03-29,0.26,DIVIDEND
AJG,2011-03-29,0.33,DIVIDEND
CB,2011-03-30,0.33,DIVIDEND
GL,2011-03-30,0.16,DIVIDEND
MMC,2011-04-06,0.21,DIVIDEND
LNC,2011-04-07,0.05,DIVIDEND
UNM,2011-04-20,0.0925,DIVIDEND
AON,2011-04-28,0.15,DIVIDEND
AFL,2011-05-16,0.3,DIVIDEND
ALL,2011-05-26,0.21,DIVIDEND
RE,2011-05-27,0.48,DIVIDEND
L,2011-05-27,0.0625,DIVIDEND
GL,2011-05-27,0.11,DIVIDEND
HIG,2011-05-27,0.1,DIVIDEND
TRV,2011-06-08,0.41,DIVIDEND
CINF,2011-06-20,0.4,DIVIDEND
CB,2011-06-22,0.39,DIVIDEND
CB,2011-06-28,0.35,DIVIDEND
WLTW,2011-06-28,0.26,DIVIDEND
AJG,2011-06-28,0.33,DIVIDEND
MMC,2011-07-07,0.22,DIVIDEND
LNC,2011-07-07,0.05,DIVIDEND
UNM,2011-07-27,0.105,DIVIDEND
AON,2011-07-28,0.15,DIVIDEND
AFL,2011-08-15,0.3,DIVIDEND
RE,2011-08-29,0.48,DIVIDEND
ALL,2011-08-29,0.21,DIVIDEND
HIG,2011-08-30,0.1,DIVIDEND
L,2011-08-30,0.0625,DIVIDEND
TRV,2011-09-07,0.41,DIVIDEND
CINF,2011-09-19,0.40299999999999997,DIVIDEND
CB,2011-09-21,0.39,DIVIDEND
CB,2011-09-28,0.35,DIVIDEND
WLTW,2011-09-28,0.26,DIVIDEND
AJG,2011-09-28,0.33,DIVIDEND
GL,2011-10-05,0.12,DIVIDEND
MMC,2011-10-06,0.22,DIVIDEND
LNC,2011-10-06,0.05,DIVIDEND
UNM,2011-10-27,0.105,DIVIDEND
AON,2011-10-28,0.15,DIVIDEND
MET,2011-11-07,0.74,DIVIDEND
PFG,2011-11-08,0.7,DIVIDEND
AFL,2011-11-14,0.33,DIVIDEND
PRU,2011-11-18,1.45,DIVIDEND
L,2011-11-25,0.0625,DIVIDEND
ALL,2011-11-28,0.21,DIVIDEND
RE,2011-11-28,0.48,DIVIDEND
HIG,2011-11-29,0.1,DIVIDEND
TRV,2011-12-07,0.41,DIVIDEND
CINF,2011-12-19,0.40299999999999997,DIVIDEND
CB,2011-12-21,0.39,DIVIDEND
AJG,2011-12-28,0.33,DIVIDEND
WLTW,2011-12-28,0.26,DIVIDEND
GL,2012-01-04,0.12,DIVIDEND
LNC,2012-01-06,0.08,DIVIDEND
CB,2012-01-10,0.47,DIVIDEND
PGR,2012-01-24,0.4072,DIVIDEND
UNM,2012-01-26,0.105,DIVIDEND
MMC,2012-01-26,0.22,DIVIDEND
AON,2012-01-30,0.15,DIVIDEND
AFL,2012-02-13,0.33,DIVIDEND
L,2012-02-28,0.0625,DIVIDEND
ALL,2012-03-01,0.22,DIVIDEND
HIG,2012-03-01,0.1,DIVIDEND
RE,2012-03-05,0.48,DIVIDEND
TRV,2012-03-07,0.41,DIVIDEND
PFG,2012-03-08,0.18,DIVIDEND
CB,2012-03-14,0.41,DIVIDEND
CINF,2012-03-19,0.40299999999999997,DIVIDEND
AJG,2012-03-28,0.34,DIVIDEND
CB,2012-03-28,0.47,DIVIDEND
WLTW,2012-03-28,0.27,DIVIDEND
GL,2012-04-03,0.15,DIVIDEND
LNC,2012-04-04,0.08,DIVIDEND
MMC,2012-04-05,0.22,DIVIDEND
UNM,2012-04-26,0.105,DIVIDEND
AON,2012-04-27,0.1575,DIVIDEND
AFL,2012-05-14,0.33,DIVIDEND
RE,2012-05-25,0.48,DIVIDEND
L,2012-05-30,0.0625,DIVIDEND
HIG,2012-05-30,0.1,DIVIDEND
ALL,2012-05-30,0.22,DIVIDEND
PFG,2012-05-31,0.18,DIVIDEND
TRV,2012-06-06,0.46,DIVIDEND
CINF,2012-06-18,0.40299999999999997,DIVIDEND
CB,2012-06-20,0.41,DIVIDEND
AJG,2012-06-27,0.34,DIVIDEND
WLTW,2012-06-27,0.27,DIVIDEND
GL,2012-07-03,0.15,DIVIDEND
LNC,2012-07-06,0.08,DIVIDEND
MMC,2012-07-09,0.23,DIVIDEND
UNM,2012-07-26,0.13,DIVIDEND
CB,2012-07-27,0.49,DIVIDEND
AON,2012-07-30,0.1575,DIVIDEND
AFL,2012-08-13,0.33,DIVIDEND
RE,2012-08-27,0.48,DIVIDEND
ALL,2012-08-29,0.22,DIVIDEND
L,2012-08-29,0.0625,DIVIDEND
HIG,2012-08-30,0.1,DIVIDEND
PFG,2012-09-04,0.21,DIVIDEND
TRV,2012-09-06,0.46,DIVIDEND
CINF,2012-09-17,0.408,DIVIDEND
CB,2012-09-19,0.41,DIVIDEND
CB,2012-09-26,0.49,DIVIDEND
AJG,2012-09-26,0.34,DIVIDEND
WLTW,2012-09-26,0.27,DIVIDEND
GL,2012-10-03,0.15,DIVIDEND
LNC,2012-10-05,0.08,DIVIDEND
MMC,2012-10-09,0.23,DIVIDEND
UNM,2012-10-25,0.13,DIVIDEND
AON,2012-10-31,0.1575,DIVIDEND
MET,2012-11-07,0.74,DIVIDEND
AFL,2012-11-09,0.35,DIVIDEND
PRU,2012-11-16,1.6,DIVIDEND
PGR,2012-11-19,1.0,DIVIDEND
RE,2012-11-26,0.48,DIVIDEND
L,2012-11-28,0.0625,DIVIDEND
ALL,2012-11-28,0.22,DIVIDEND
AJG,2012-11-29,0.34,DIVIDEND
HIG,2012-11-29,0.1,DIVIDEND
TRV,2012-12-06,0.46,DIVIDEND
PFG,2012-12-06,0.21,DIVIDEND
CB,2012-12-13,0.49,DIVIDEND
CINF,2012-12-17,0.40700000000000003,DIVIDEND
CB,2012-12-19,0.41,DIVIDEND
WLTW,2012-12-27,0.27,DIVIDEND
GL,2013-01-02,0.15,DIVIDEND
LNC,2013-01-08,0.12,DIVIDEND
PGR,2013-01-23,0.2845,DIVIDEND
MMC,2013-01-24,0.23,DIVIDEND
UNM,2013-01-24,0.13,DIVIDEND
AON,2013-01-30,0.1575,DIVIDEND
MET,2013-02-04,0.185,DIVIDEND
AFL,2013-02-13,0.35,DIVIDEND
PRU,2013-02-22,0.4,DIVIDEND
ALL,2013-02-26,0.25,DIVIDEND
L,2013-02-27,0.0625,DIVIDEND
AJG,2013-02-28,0.35,DIVIDEND
RE,2013-03-04,0.48,DIVIDEND
TRV,2013-03-06,0.46,DIVIDEND
L,2013-03-06,0.0625,DIVIDEND
HIG,2013-03-07,0.1,DIVIDEND
PFG,2013-03-07,0.23,DIVIDEND
CB,2013-03-13,0.44,DIVIDEND
CINF,2013-03-18,0.40700000000000003,DIVIDEND
CB,2013-03-26,0.49,DIVIDEND
WLTW,2013-03-26,0.28,DIVIDEND
GL,2013-04-03,0.17,DIVIDEND
LNC,2013-04-05,0.12,DIVIDEND
MMC,2013-04-08,0.23,DIVIDEND
UNM,2013-04-25,0.13,DIVIDEND
AON,2013-04-29,0.175,DIVIDEND
MET,2013-05-07,0.275,DIVIDEND
AFL,2013-05-20,0.35,DIVIDEND
PRU,2013-05-24,0.4,DIVIDEND
ALL,2013-05-29,0.25,DIVIDEND
L,2013-05-30,0.0625,DIVIDEND
HIG,2013-05-30,0.1,DIVIDEND
PFG,2013-05-30,0.23,DIVIDEND
AJG,2013-05-31,0.35,DIVIDEND
RE,2013-06-03,0.48,DIVIDEND
TRV,2013-06-06,0.5,DIVIDEND
CINF,2013-06-17,0.40700000000000003,DIVIDEND
CB,2013-06-19,0.44,DIVIDEND
WLTW,2013-06-26,0.28,DIVIDEND
GL,2013-07-02,0.17,DIVIDEND
LNC,2013-07-08,0.12,DIVIDEND
MMC,2013-07-09,0.25,DIVIDEND
CB,2013-07-19,0.51,DIVIDEND
UNM,2013-07-25,0.145,DIVIDEND
AON,2013-07-30,0.175,DIVIDEND
MET,2013-08-07,0.275,DIVIDEND
AFL,2013-08-19,0.35,DIVIDEND
PRU,2013-08-23,0.4,DIVIDEND
RE,2013-08-26,0.48,DIVIDEND
ALL,2013-08-28,0.25,DIVIDEND
L,2013-08-28,0.0625,DIVIDEND
HIG,2013-08-29,0.15,DIVIDEND
AJG,2013-08-30,0.35,DIVIDEND
PFG,2013-09-03,0.26,DIVIDEND
TRV,2013-09-06,0.5,DIVIDEND
AIG,2013-09-10,0.1,DIVIDEND
CINF,2013-09-16,0.42,DIVIDEND
CB,2013-09-18,0.44,DIVIDEND
WLTW,2013-09-26,0.28,DIVIDEND
CB,2013-09-26,0.51,DIVIDEND
GL,2013-10-02,0.17,DIVIDEND
