intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,maxAge,longTermDebt,accountsPayable,symbol,goodWill,deferredLongTermAssetCharges,minorityInterest,deferredLongTermLiab
1841400000,3606300000,13673200000,4880300000,404800000,18631400000,1553990400,185300000,2029500000,1810200000,1015100000,-721500000,1445700000,871500000,8637900000,129800000,-721500000,819000000,9669500000,54900000,-1762000000,,6673500000,1,3690300000,6741400000,AJG,4800900000,869900000,77900000,
1.84B,3.61B,13.67B,4.88B,404.8M,18.63B,2019-03-31,185.3M,2.03B,1.81B,1.02B,-721.5M,1.45B,871.5M,8.64B,129.8M,-721.5M,819M,9.67B,54.9M,-1.76B,,6.67B,1,3.69B,6.74B,AJG,4.8B,869.9M,77.9M,
"1,841,400,000","3,606,300,000","13,673,200,000","4,880,300,000","404,800,000","18,631,400,000",,"185,300,000","2,029,500,000","1,810,200,000","1,015,100,000","-721,500,000","1,445,700,000","871,500,000","8,637,900,000","129,800,000","-721,500,000","819,000,000","9,669,500,000","54,900,000","-1,762,000,000",,"6,673,500,000",1,"3,690,300,000","6,741,400,000",AJG,"4,800,900,000","869,900,000","77,900,000",
1773000000,3541900000,11764300000,4498900000,379300000,16334000000,1546214400,184000000,2037400000,1558600000,979300000,-785600000,1379800000,607200000,7693600000,100000000,-785600000,436900000,8118700000,,-1899700000,,5365900000,1,3091400000,5740200000,AJG,4625600000,806200000,70800000,
1.77B,3.54B,11.76B,4.5B,379.3M,16.33B,2018-12-31,184M,2.04B,1.56B,979.3M,-785.6M,1.38B,607.2M,7.69B,100M,-785.6M,436.9M,8.12B,,-1.9B,,5.37B,1,3.09B,5.74B,AJG,4.63B,806.2M,70.8M,
"1,773,000,000","3,541,900,000","11,764,300,000","4,498,900,000","379,300,000","16,334,000,000",,"184,000,000","2,037,400,000","1,558,600,000","979,300,000","-785,600,000","1,379,800,000","607,200,000","7,693,600,000","100,000,000","-785,600,000","436,900,000","8,118,700,000",,"-1,899,700,000",,"5,365,900,000",1,"3,091,400,000","5,740,200,000",AJG,"4,625,600,000","806,200,000","70,800,000",
1772100000,3516600000,11502000000,4544500000,401300000,16114700000,1538265600,183700000,2046300000,1517600000,938200000,-673400000,1262900000,605000000,7422600000,100000000,-673400000,429300000,8084000000,65100000,-1728900000,,5332800000,1,3141200000,5693600000,AJG,4501300000,743400000,68200000,
1.77B,3.52B,11.5B,4.54B,401.3M,16.11B,2018-09-30,183.7M,2.05B,1.52B,938.2M,-673.4M,1.26B,605M,7.42B,100M,-673.4M,429.3M,8.08B,65.1M,-1.73B,,5.33B,1,3.14B,5.69B,AJG,4.5B,743.4M,68.2M,
"1,772,100,000","3,516,600,000","11,502,000,000","4,544,500,000","401,300,000","16,114,700,000",,"183,700,000","2,046,300,000","1,517,600,000","938,200,000","-673,400,000","1,262,900,000","605,000,000","7,422,600,000","100,000,000","-673,400,000","429,300,000","8,084,000,000","65,100,000","-1,728,900,000",,"5,332,800,000",1,"3,141,200,000","5,693,600,000",AJG,"4,501,300,000","743,400,000","68,200,000",
11659000000,11757000000,120714000000,53802000000,16885000000,174516000000,1561852800,11121000000,16624000000,33878000000,12224000000,-2954000000,8573000000,1270000000,94169000000,113000000,139000000,601000000,35402000000,102981000000,32236000000,3808000000,10935000000,1,13679000000,74028000000,CB,15300000000,,,
