symbol,endDate,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,accountsPayable,deferredLongTermLiab,goodWill,propertyPlantEquipment
UNM,2019/06/30,2301900000,2335600000,56390600000,9453100000,0,759500000,65843700000,30600000,5556000000,10308900000,52170800000,-3222000000,6675900000,60800000,761100000,0,1600000,-242500000,8700400000,47147800000,9103000000,1367200000,1716400000,3341200000,0,0,350100000,667600000
UNM,2019/03/31,2298200000,2328500000,54861200000,9060500000,0,743500000,63921700000,30500000,5459900000,10083100000,51033100000,-3381600000,6725000000,62100000,747300000,30200000,3800000,-502300000,8428600000,45454700000,8709500000,1194400000,1712200000,2958700000,0,0,351000000,664200000
UNM,2018/12/31,2406100000,2321700000,53253800000,8621800000,0,579300000,61875600000,30500000,5353000000,9863100000,49698000000,-3593500000,6858000000,94000000,584500000,109900000,5200000,-814200000,8030600000,43683700000,8271500000,968100000,1615500000,2971300000,0,0,350300000,546900000
UNM,2018/09/30,2276900000,2314300000,53731600000,8518200000,0,719200000,62249800000,30500000,5367000000,9670800000,50021600000,-3497400000,6829900000,214200000,726500000,157400000,7300000,-868500000,8531400000,43744600000,8172200000,1238200000,1712000000,2983500000,0,0,346000000,521000000
WLTW,2019/06/30,3055000000,10644000000,24934000000,10090000000,142000000,15416000000,35166000000,0,14803000000,1442000000,2481000000,-1996000000,1406000000,812000000,17204000000,71000000,187000000,-1993000000,18333000000,21000000,-3419000000,0,2585000000,4284000000,793000000,59000000,10454000000,1897000000
WLTW,2019/03/31,3187000000,10630000000,25651000000,10092000000,150000000,16066000000,35893000000,0,15129000000,1439000000,2493000000,-1977000000,1327000000,992000000,17654000000,0,187000000,-1974000000,19020000000,0,-3551000000,0,2490000000,4518000000,688000000,0,10456000000,1903000000
WLTW,2018/12/31,3318000000,9420000000,22388000000,9852000000,145000000,13326000000,32385000000,0,12806000000,1021000000,2669000000,-589000000,1210000000,1033000000,15301000000,59000000,186000000,-589000000,16420000000,30000000,-3931000000,0,2445000000,4389000000,163000000,46000000,10465000000,942000000
WLTW,2018/09/30,3429000000,10577000000,22851000000,10049000000,141000000,13904000000,33041000000,0,13321000000,1102000000,2798000000,-1630000000,1447000000,931000000,15555000000,66000000,186000000,-1627000000,16756000000,8000000,-3837000000,0,2340000000,4498000000,679000000,50000000,10457000000,944000000
LNC,2019/06/30,8588000000,0,303804000000,18455000000,0,2284000000,322259000000,5241000000,21151000000,8878000000,293100000000,4336000000,179231000000,3314000000,4380000000,0,300000000,4336000000,29540000000,102774000000,16677000000,0,553000000,6126000000,1796000000,0,1778000000,348000000
LNC,2019/03/31,9441000000,0,297882000000,16417000000,0,1915000000,314299000000,5285000000,21186000000,8679000000,287810000000,2453000000,175051000000,1593000000,3977000000,0,300000000,2453000000,26700000000,100955000000,14639000000,0,607000000,5891000000,1762000000,0,1778000000,374000000
LNC,2018/12/31,11525000000,0,283797000000,14350000000,0,1308000000,298147000000,5392000000,28571000000,8551000000,274262000000,407000000,155026000000,2345000000,3048000000,0,0,407000000,33436000000,96378000000,11909000000,0,570000000,6123000000,1740000000,248000000,1782000000,0
LNC,2018/09/30,10621000000,0,288780000000,15070000000,0,1784000000,303850000000,5619000000,21872000000,8615000000,279072000000,836000000,170631000000,1460000000,3517000000,0,0,836000000,25364000000,95477000000,13313000000,0,592000000,6191000000,1733000000,0,1757000000,0
L,2019/06/30,681000000,3612000000,59883000000,19514000000,2880000000,4659000000,82277000000,3000000,0,16374000000,20685000000,-475000000,5368000000,440000000,27040000000,0,96000000,3000000,13297000000,46027000000,18746000000,4689000000,8144000000,11456000000,21729000000,2678000000,768000000,16136000000
L,2019/03/31,664000000,3607000000,58547000000,19037000000,2865000000,4430000000,80449000000,3000000,0,16144000000,19916000000,-717000000,5248000000,339000000,26697000000,0,133000000,-390000000,12915000000,44904000000,18355000000,4487000000,8012000000,11229000000,21836000000,2576000000,682000000,16036000000
L,2018/12/31,1244000000,3627000000,56930000000,18518000000,2868000000,4183000000,78316000000,3000000,4820000000,15773000000,19345000000,-885000000,4033000000,405000000,26226000000,37000000,17000000,-880000000,12391000000,44472000000,17242000000,3869000000,3140000000,11359000000,21984000000,2513000000,665000000,15511000000
L,2018/09/30,654000000,3813000000,56839000000,18952000000,2934000000,4295000000,78725000000,3000000,0,16790000000,19269000000,-1654000000,4845000000,571000000,26259000000,0,149000000,-758000000,12393000000,44709000000,18295000000,3794000000,7836000000,11311000000,21604000000,2500000000,657000000,15467000000
