researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,maxAge,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,symbol
,,"-702,298,000",,"-382,274,000","7,153,000","-683,061,000","-690,214,000",,"-690,214,000",,"-7,984,000",,,,"-320,024,000","1,798,797,000","2,489,011,000","2,481,858,000","-12,084,000",1,,"-382,274,000","-378,206,000",RE
,,197421000,,205613000,7890000,220012000,212122000,1538265600,212122000,,-7901000,,,,-8192000,1951213000,1739091000,1731201000,-14701000,1,,205613000,203537000,RE
,,197.42M,,205.61M,7.89M,220.01M,212.12M,2018-09-30,212.12M,,-7.9M,,,,-8.19M,1.95B,1.74B,1.73B,-14.7M,1,,205.61M,203.54M,RE
,,"197,421,000",,"205,613,000","7,890,000","220,012,000","212,122,000",,"212,122,000",,"-7,901,000",,,,"-8,192,000","1,951,213,000","1,739,091,000","1,731,201,000","-14,701,000",1,,"205,613,000","203,537,000",RE
,,228760000,,186566000,,329236000,250192000,1561852800,250192000,67788000,-21432000,,,,42151000,1130461000,880269000,801225000,-21432000,1,-43000,186609000,186566000,GL
,,228.76M,,186.57M,,329.24M,250.19M,2019-06-30,250.19M,67.79M,-21.43M,,,,42.15M,1.13B,880.27M,801.23M,-21.43M,1,-43k,186.61M,186.57M,GL
,,"228,760,000",,"186,566,000",,"329,236,000","250,192,000",,"250,192,000","67,788,000","-21,432,000",,,,"42,151,000","1,130,461,000","880,269,000","801,225,000","-21,432,000",1,"-43,000","186,609,000","186,566,000",GL
,,228101000,,185345000,,322172000,249379000,1553990400,249379000,62234000,-21278000,,,,42707000,1119216000,869837000,797044000,-21278000,1,-49000,185394000,185345000,GL
,,228.1M,,185.34M,,322.17M,249.38M,2019-03-31,249.38M,62.23M,-21.28M,,,,42.71M,1.12B,869.84M,797.04M,-21.28M,1,-49k,185.39M,185.34M,GL
,,"228,101,000",,"185,345,000",,"322,172,000","249,379,000",,"249,379,000","62,234,000","-21,278,000",,,,"42,707,000","1,119,216,000","869,837,000","797,044,000","-21,278,000",1,"-49,000","185,394,000","185,345,000",GL
,,203635000,,164717000,57381000,297327000,227245000,1546214400,227245000,2878000,-23610000,,,,38929000,1064737000,837492000,767410000,-22610000,1,11000,164706000,164717000,GL
,,203.63M,,164.72M,57.38M,297.33M,227.25M,2018-12-31,227.25M,2.88M,-23.61M,,,,38.93M,1.06B,837.49M,767.41M,-22.61M,1,11k,164.71M,164.72M,GL
,,"203,635,000",,"164,717,000","57,381,000","297,327,000","227,245,000",,"227,245,000","2,878,000","-23,610,000",,,,"38,929,000","1,064,737,000","837,492,000","767,410,000","-22,610,000",1,"11,000","164,706,000","164,717,000",GL
,,220330000,,178724000,57381000,316822000,242763000,1538265600,242763000,63647000,-22433000,,,,41630000,1083802000,841039000,766980000,-22433000,1,24000,178700000,178724000,GL
,,220.33M,,178.72M,57.38M,316.82M,242.76M,2018-09-30,242.76M,63.65M,-22.43M,,,,41.63M,1.08B,841.04M,766.98M,-22.43M,1,24k,178.7M,178.72M,GL
,,"220,330,000",,"178,724,000","57,381,000","316,822,000","242,763,000",,"242,763,000","63,647,000","-22,433,000",,,,"41,630,000","1,083,802,000","841,039,000","766,980,000","-22,433,000",1,"24,000","178,700,000","178,724,000",GL
,,456000000,,372000000,1141000000,1766000000,519000000,1561852800,519000000,91000000,-63000000,,,,84000000,5092000000,4573000000,3326000000,-63000000,1,,372000000,372000000,HIG
,,456M,,372M,1.14B,1.77B,519M,2019-06-30,519M,91M,-63M,,,,84M,5.09B,4.57B,3.33B,-63M,1,,372M,372M,HIG
,,"456,000,000",,"372,000,000","1,141,000,000","1,766,000,000","519,000,000",,"519,000,000","91,000,000","-63,000,000",,,,"84,000,000","5,092,000,000","4,573,000,000","3,326,000,000","-63,000,000",1,,"372,000,000","372,000,000",HIG
,,775000000,,630000000,1038000000,1900000000,849000000,1553990400,849000000,91000000,-64000000,,,,145000000,4940000000,4091000000,3040000000,-74000000,1,,630000000,625000000,HIG
,,775M,,630M,1.04B,1.9B,849M,2019-03-31,849M,91M,-64M,,,,145M,4.94B,4.09B,3.04B,-74M,1,,630M,625M,HIG
,,"775,000,000",,"630,000,000","1,038,000,000","1,900,000,000","849,000,000",,"849,000,000","91,000,000","-64,000,000",,,,"145,000,000","4,940,000,000","4,091,000,000","3,040,000,000","-74,000,000",1,,"630,000,000","625,000,000",HIG
,,167000000,,196000000,1074000000,1331000000,243000000,1546214400,243000000,91000000,-64000000,,,,-29000000,4627000000,4384000000,3296000000,-76000000,1,,196000000,190000000,HIG
,,167M,,196M,1.07B,1.33B,243M,2018-12-31,243M,91M,-64M,,,,-29M,4.63B,4.38B,3.3B,-76M,1,,196M,190M,HIG
,,"167,000,000",,"196,000,000","1,074,000,000","1,331,000,000","243,000,000",,"243,000,000","91,000,000","-64,000,000",,,,"-29,000,000","4,627,000,000","4,384,000,000","3,296,000,000","-76,000,000",1,,"196,000,000","190,000,000",HIG
,,530000000,,432000000,1079000000,1701000000,604000000,1538265600,604000000,91000000,-62000000,,,,103000000,4835000000,4231000000,3134000000,-74000000,1,5000000,427000000,432000000,HIG
,,530M,,432M,1.08B,1.7B,604M,2018-09-30,604M,91M,-62M,,,,103M,4.83B,4.23B,3.13B,-74M,1,5M,427M,432M,HIG
,,"530,000,000",,"432,000,000","1,079,000,000","1,701,000,000","604,000,000",,"604,000,000","91,000,000","-62,000,000",,,,"103,000,000","4,835,000,000","4,231,000,000","3,134,000,000","-74,000,000",1,"5,000,000","427,000,000","432,000,000",HIG
,,550000000,272000000,332000000,,1882000000,834000000,1561852800,834000000,1048000000,-141000000,,,,206000000,4349000000,3515000000,2467000000,-284000000,1,,344000000,332000000,MMC
,,550M,272M,332M,,1.88B,834M,2019-06-30,834M,1.05B,-141M,,,,206M,4.35B,3.52B,2.47B,-284M,1,,344M,332M,MMC
,,"550,000,000","272,000,000","332,000,000",,"1,882,000,000","834,000,000",,"834,000,000","1,048,000,000","-141,000,000",,,,"206,000,000","4,349,000,000","3,515,000,000","2,467,000,000","-284,000,000",1,,"344,000,000","332,000,000",MMC
,,944000000,77000000,716000000,,1873000000,1022000000,1553990400,1022000000,851000000,-120000000,,,,217000000,4071000000,3049000000,2198000000,-78000000,1,,727000000,716000000,MMC
,,944M,77M,716M,,1.87B,1.02B,2019-03-31,1.02B,851M,-120M,,,,217M,4.07B,3.05B,2.2B,-78M,1,,727M,716M,MMC
,,"944,000,000","77,000,000","716,000,000",,"1,873,000,000","1,022,000,000",,"1,022,000,000","851,000,000","-120,000,000",,,,"217,000,000","4,071,000,000","3,049,000,000","2,198,000,000","-78,000,000",1,,"727,000,000","716,000,000",MMC
,,224000000,73000000,153000000,,1570000000,642000000,1546214400,642000000,928000000,-92000000,,,,65000000,3712000000,3070000000,2142000000,-418000000,1,,159000000,153000000,MMC
,,224M,73M,153M,,1.57B,642M,2018-12-31,642M,928M,-92M,,,,65M,3.71B,3.07B,2.14B,-418M,1,,159M,153M,MMC
,,"224,000,000","73,000,000","153,000,000",,"1,570,000,000","642,000,000",,"642,000,000","928,000,000","-92,000,000",,,,"65,000,000","3,712,000,000","3,070,000,000","2,142,000,000","-418,000,000",1,,"159,000,000","153,000,000",MMC
,,385000000,85000000,276000000,,1484000000,604000000,1538265600,604000000,880000000,-69000000,,,,106000000,3504000000,2900000000,2020000000,-219000000,1,,279000000,276000000,MMC
,,385M,85M,276M,,1.48B,604M,2018-09-30,604M,880M,-69M,,,,106M,3.5B,2.9B,2.02B,-219M,1,,279M,276M,MMC
,,"385,000,000","85,000,000","276,000,000",,"1,484,000,000","604,000,000",,"604,000,000","880,000,000","-69,000,000",,,,"106,000,000","3,504,000,000","2,900,000,000","2,020,000,000","-219,000,000",1,,"279,000,000","276,000,000",MMC
,,2297000000,235000000,1741000000,,5687000000,2584000000,1561852800,2584000000,3103000000,-274000000,,,,551000000,17497000000,14913000000,11810000000,-287000000,1,,1746000000,1684000000,MET
,,2.3B,235M,1.74B,,5.69B,2.58B,2019-06-30,2.58B,3.1B,-274M,,,,551M,17.5B,14.91B,11.81B,-287M,1,,1.75B,1.68B,MET
,,"2,297,000,000","235,000,000","1,741,000,000",,"5,687,000,000","2,584,000,000",,"2,584,000,000","3,103,000,000","-274,000,000",,,,"551,000,000","17,497,000,000","14,913,000,000","11,810,000,000","-287,000,000",1,,"1,746,000,000","1,684,000,000",MET
,,1744000000,229000000,1381000000,,4969000000,1985000000,1553990400,1985000000,2984000000,-234000000,,,,359000000,16302000000,14317000000,11333000000,-241000000,1,,1385000000,1349000000,MET
,,1.74B,229M,1.38B,,4.97B,1.99B,2019-03-31,1.99B,2.98B,-234M,,,,359M,16.3B,14.32B,11.33B,-241M,1,,1.39B,1.35B,MET
,,"1,744,000,000","229,000,000","1,381,000,000",,"4,969,000,000","1,985,000,000",,"1,985,000,000","2,984,000,000","-234,000,000",,,,"359,000,000","16,302,000,000","14,317,000,000","11,333,000,000","-241,000,000",1,,"1,385,000,000","1,349,000,000",MET
,,2471000000,217000000,2067000000,-145000000,5871000000,2763000000,1546214400,2763000000,3253000000,-265000000,,,,409000000,15667000000,12904000000,9796000000,-292000000,1,,2062000000,2010000000,MET
,,2.47B,217M,2.07B,-145M,5.87B,2.76B,2018-12-31,2.76B,3.25B,-265M,,,,409M,15.67B,12.9B,9.8B,-292M,1,,2.06B,2.01B,MET
,,"2,471,000,000","217,000,000","2,067,000,000","-145,000,000","5,871,000,000","2,763,000,000",,"2,763,000,000","3,253,000,000","-265,000,000",,,,"409,000,000","15,667,000,000","12,904,000,000","9,796,000,000","-292,000,000",1,,"2,062,000,000","2,010,000,000",MET
,,1079000000,184000000,912000000,47000000,4543000000,1358000000,1538265600,1358000000,3138000000,-262000000,,,,164000000,16284000000,14926000000,11741000000,-279000000,1,,915000000,880000000,MET
,,1.08B,184M,912M,47M,4.54B,1.36B,2018-09-30,1.36B,3.14B,-262M,,,,164M,16.28B,14.93B,11.74B,-279M,1,,915M,880M,MET
,,"1,079,000,000","184,000,000","912,000,000","47,000,000","4,543,000,000","1,358,000,000",,"1,358,000,000","3,138,000,000","-262,000,000",,,,"164,000,000","16,284,000,000","14,926,000,000","11,741,000,000","-279,000,000",1,,"915,000,000","880,000,000",MET
,,450300000,371800000,386300000,1046300000,1496600000,450300000,1561852800,450300000,,,,,,58200000,3972600000,3522300000,2476000000,0,1,,392100000,386300000,PFG
,,450.3M,371.8M,386.3M,1.05B,1.5B,450.3M,2019-06-30,450.3M,,,,,,58.2M,3.97B,3.52B,2.48B,,1,,392.1M,386.3M,PFG
,,"450,300,000","371,800,000","386,300,000","1,046,300,000","1,496,600,000","450,300,000",,"450,300,000",,,,,,"58,200,000","3,972,600,000","3,522,300,000","2,476,000,000",0,1,,"392,100,000","386,300,000",PFG
,,526000000,605500000,429900000,992700000,1518700000,526000000,1553990400,526000000,,,,,,73900000,3743900000,3217900000,2225200000,0,1,,452100000,429900000,PFG
